analisis_gramatical,traduccion_literal,palabra,transliteracion
"Raíz: ἀγών (agōn, 'lucha, contienda').
Clase de palabra: Sustantivo femenino.
Caso: Nominativo o acusativo (depende del contexto de la oración).
Género: Femenino.
Número: Singular.
Tiempo: No aplicable (es un sustantivo).
Voz: No aplicable (es un sustantivo).
Modo: No aplicable (es un sustantivo). 
Otras observaciones:  La palabra ""agōnia"" en el griego koiné del Nuevo Testamento se utiliza para describir una intensa lucha interna, ansiedad, angustia mental o pena.  A menudo se traduce como 'agonía', pero la connotación puede variar según el contexto.  Puede referirse a una lucha física o espiritual, reflejando el esfuerzo y la tensión implicados en una situación difícil.","agonía, lucha, contienda, ansiedad",αγωνια,agōnia
"{'modo': 'imperativo', 'clase_de_palabra': 'verbo', 'raiz': 'agōn', 'voz': 'media', 'numero': 'plural', 'persona': '2', 'tiempo': 'presente'}","luchad esforzadamente, contended",αγωνιζεσθε,agōnizesthe
"{'otras_informaciones': ""La terminación '-ometha' indica la primera persona del plural, presente, indicativo, voz media del verbo.  El verbo ἀγωνίζομαι (agōnizomai) significa 'luchar', 'competir', 'esforzarse'. La voz media implica que los sujetos de la acción están involucrados activamente en la lucha, esforzándose por sí mismos."", 'caso': 'no aplica', 'modo': 'indicativo', 'genero': 'no aplica', 'clase_de_palabra': 'verbo', 'raiz': 'agōn', 'voz': 'media', 'numero': 'plural', 'tiempo': 'presente'}",luchamos,αγωνιζομεθα,agōnizometha
"Raíz: ἀγών (agōn, 'lucha, contienda').
Clase de palabra: Verbo.
Caso: No aplica (es un verbo).
Género: No aplica (es un verbo).
Número: Singular.
Tiempo: Presente.
Voz: Medias (Voz media, denotando acción realizada por el sujeto sobre sí mismo o para su propio beneficio).
Modo: Participio (Forma verbal que funciona como adjetivo, participando en la estructura de la oración como adjetivo o adverbio).  En este caso, es un participio presente medio/pasivo singular.  El participio presente medio/pasivo describe una acción en progreso realizada por el sujeto para o sobre sí mismo. Se traduce como un gerundio en español (""luchando"", ""contendiendo""), o con un verbo en participio ('que lucha', 'que contende').
Aspecto: Imperfecto o incoativo (acción en progreso, no terminada).","luchando, contendiendo, esforzándose",αγωνιζομενος,agōnizomenos
"Raíz: ἀγών (agōn, 'lucha, contienda').
Clase de palabra: Verbo.
Tiempo: Presente.
Aspecto: Imperfecto.
Voz: Media.
Modo: Imperativo.
Persona: Segunda.
Número: Singular.
Género: No aplica (los verbos no tienen género). 
Observación: El verbo está en imperativo, expresando una exhortación o mandato en la segunda persona del singular ('lucha', 'esfuérzate').  La forma media indica que el sujeto de la acción está implicado de forma activa en la lucha, experimentando o esforzándose por el resultado. La raíz, agōn, conecta la palabra con el mundo de las competiciones atléticas y otras luchas, pero en el contexto bíblico adquiere un significado espiritual de lucha por la fe.","lucha, compite, contiende",αγωνιζου,agōnizou
"{'caso': 'N/A', 'modo': 'subjuntivo', 'genero': 'N/A', 'clase_de_palabra': 'verbo', 'raiz': 'agō', 'voz': 'activa', 'numero': 'plural', 'tiempo': 'presente'}",conduzcan,αγωσιν,agōsin
"Raíz: probablemente de una raíz semítica que significa 'hombre' o 'humano'.
Clase de palabra: Sustantivo propio.
Caso: Nominativo.
Género: Masculino.
Número: Singular.
Tiempo: No aplica (sustantivo).
Voz: No aplica (sustantivo).
Modo: No aplica (sustantivo).
Otra información relevante:  Se refiere a Adán, el primer hombre en la creación bíblica. En el Nuevo Testamento, se utiliza principalmente para contrastar a Cristo como el 'nuevo Adán', el segundo Adán, quien trae la redención.  La forma es invariable, como la mayoría de los nombres propios en griego.",Adán,αδαμ,Adam
"Raíz:  Probablemente relacionada con  ""δαπανάω"" (dapanao) que significa ""gastar"", ""consumir"".  La forma ""αδαπανον"" es un sustantivo, derivado probablemente de un adjetivo.  Caso: Acusativo.  Género: Neutro.  Número: Singular.  No tiene tiempo, voz o modo por no ser un verbo.  Su significado se deriva del verbo  ""δαπανάω"" , pero niega la acción expresada en él, implicando 'sin gasto', 'gratis'.","sin costo, gratuito, gratis",αδαπανον,adapanon
"La palabra ""αδδι"" no es una palabra griega válida.  Es posible que haya un error ortográfico o que se trate de una palabra que no pertenece al griego koiné del Nuevo Testamento.  Se necesita más información o una corrección de la palabra para proporcionar un análisis gramatical.","No existe la palabra ""αδδι"" en griego koiné del Nuevo Testamento.",αδδι,addi
"{'observaciones': ""La forma vocativa indica una direccion directa a los hermanos.  En el griego koiné, se usaba con frecuencia para dirigirse a un grupo de personas como una forma de apelacion afectiva o fraternal. La falta de articulo definido indica una referencia general a 'hermanos' en lugar de a un grupo especifico."", 'caso': 'vocativo', 'modo': 'ninguno', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos', 'voz': 'ninguna', 'numero': 'plural', 'tiempo': 'ninguno'}",hermanos,αδελφαι,adelphai
"{'observaciones': 'Palabra de uso frecuente en el Nuevo Testamento.  Puede referirse a un hermano de sangre o a un hermano en la fe cristiana. La forma plural, ""adelphoi"", es también común.', 'caso': 'nominativo, genitivo, dativo, acusativo, vocativo', 'modo': 'No aplica (sustantivo)', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelph-', 'voz': 'No aplica (sustantivo)', 'numero': 'singular, plural', 'tiempo': 'No aplica (sustantivo)'}",hermano,αδελφας,adelphos
"{'observaciones': 'La forma vocativa indica una forma de dirigir la palabra a alguien.  En el griego koiné, la forma vocativa a menudo coincide con la nominativo singular, excepto en algunos sustantivos.  La palabra ""αδελφε"" (adelphe) se usa frecuentemente en el Nuevo Testamento como una forma afectiva de dirigirse a los cristianos, expresando una relación espiritual de hermandad.', 'caso': 'vocativo', 'modo': 'N/A', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos', 'voz': 'N/A', 'numero': 'singular', 'tiempo': 'N/A'}",hermano,αδελφε,adelphe
"{'observaciones': ""Forma femenina singular nominativo del sustantivo adelphos (ἀδελφός), que significa 'hermano'.  En el griego koiné del Nuevo Testamento, se usa frecuentemente para referirse tanto a hermanas como a mujeres en general en un contexto de fe o comunidad."", 'caso': 'nominativo', 'modo': 'no aplica', 'genero': 'femenino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos', 'voz': 'no aplica', 'numero': 'singular', 'tiempo': 'no aplica'}",hermana,αδελφη,adelphe
"{'observaciones': 'Forma acusativa singular femenina del sustantivo ""adelphos"" (ἀδελφός), que significa hermano.  El cambio de sufijo de -os a -en indica el caso acusativo en singular femenino.  Se usa para referirse a una hermana como objeto directo de una acción verbal.', 'caso': 'acusativo', 'modo': 'no aplica', 'genero': 'femenino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos', 'voz': 'no aplica', 'numero': 'singular', 'tiempo': 'no aplica'}",hermana,αδελφην,adelphen
"{'observaciones': 'Puede referirse a hermano de sangre o hermano en la fe (en el contexto cristiano).  La declinación varía según el caso.  Forma parte de una familia de palabras relacionadas con el amor y la familiaridad.', 'caso': 'nominativo, genitivo, dativo, acusativo, vocativo', 'modo': 'no aplica', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelph-', 'voz': 'no aplica', 'numero': 'singular, plural', 'tiempo': 'no aplica'}",hermano,αδελφης,adelphos
"{'observaciones': 'La forma vocativa se usa para llamar o dirigirse a alguien.  En el Nuevo Testamento, ""adelphoi"" es una forma común de dirigirse afectuosamente a los miembros de la comunidad cristiana.', 'caso': 'vocativo', 'modo': 'ninguno', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos', 'voz': 'ninguna', 'numero': 'plural', 'tiempo': 'ninguno'}",hermanos,αδελφοι,adelphoi
"{'observaciones': ""La terminación '-ois' indica el dativo plural masculino.  Se refiere a un grupo de hermanos masculinos.  El dativo señala a quién o para quién se realiza la acción del verbo en la oración donde aparece."", 'caso': 'dativo', 'modo': 'ninguno', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos', 'voz': 'ninguna', 'numero': 'plural', 'tiempo': 'ninguno'}",hermanos,αδελφοις,adelphois
"{'observaciones': ""Forma acusativa singular del sustantivo 'adelphos', que significa 'hermano'.  El acusativo indica que 'adelphon' es el objeto directo de la oración en la que se encuentra."", 'caso': 'acusativo', 'modo': 'no aplica', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos', 'voz': 'no aplica', 'numero': 'singular', 'tiempo': 'no aplica'}",hermano,αδελφον,adelphon
"{'observaciones': 'Palabra de uso frecuente en el Nuevo Testamento. Puede referirse a un hermano de sangre o a un hermano en la fe cristiana.  La flexión varía según el caso gramatical en la oración.', 'caso': 'nominativo, vocativo, acusativo, genitivo, dativo', 'modo': 'no aplica', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelph-', 'voz': 'no aplica', 'numero': 'singular, plural', 'tiempo': 'no aplica'}",hermano,αδελφος,adelphos
"{'observaciones': 'Es un sustantivo abstracto derivado del sustantivo ""adelphos"" (αδελφος), que significa ""hermano"". El sufijo ""-tet-"" indica una colectividad o grupo y el sufijo ""-an"" es la terminación del caso acusativo singular femenino.', 'caso': 'acusativo', 'modo': 'no aplica', 'genero': 'femenino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos (αδελφος)', 'voz': 'no aplica', 'numero': 'singular', 'tiempo': 'no aplica'}",hermandad,αδελφοτητα,adelphotetan
"Raíz: adelphos (ἀδελφός, hermano)
Clase de palabra: Sustantivo
Caso: Dativo
Género: Femenino
Número: Singular
Declinación: Sustantivo de la tercera declinación, tema en -et-.","fraternidad, hermandad",αδελφοτητι,adelphoteti
"{'observaciones': 'El genitivo en griego puede expresar una gran variedad de relaciones. En este caso, ""adelphou"" indica posesión o pertenencia: \'de un hermano\', \'perteneciente a un hermano\',  \'de parte de un hermano\'. También podría indicar origen o procedencia.', 'caso': 'genitivo', 'modo': 'ninguno', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos', 'voz': 'ninguna', 'numero': 'singular', 'tiempo': 'ninguno'}",de hermano,αδελφου,adelphou
"{'observaciones': 'La palabra  ""αδελφους"" (adelphous) es la forma acusativa plural de  ""αδελφος"" (adelphos), que significa \'hermano\'. En el Nuevo Testamento, se utiliza con frecuencia para referirse a los miembros de la comunidad cristiana.', 'caso': 'acusativo', 'modo': 'ninguno', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos', 'voz': 'ninguna', 'numero': 'plural', 'tiempo': 'ninguno'}",hermanos,αδελφους,adelphous
"{'observaciones': 'La forma vocativa indica una llamada o una invocación directa a los hermanos.  Es un sustantivo de segunda declinación.', 'caso': 'vocativo', 'modo': 'ninguno', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos', 'voz': 'ninguna', 'numero': 'plural', 'tiempo': 'ninguno'}",hermanos,αδελφω,adelphoi
"{'observaciones': ""Forma genitiva plural del sustantivo adelphos, que significa 'hermano'. En el contexto del Nuevo Testamento, se usa a menudo para referirse a los miembros de la comunidad cristiana."", 'caso': 'genitivo', 'modo': 'ninguno', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'adelphos', 'voz': 'ninguna', 'numero': 'plural', 'tiempo': 'ninguno'}",hermanos,αδελφων,adelphon
"Raíz: probablemente de un verbo que significa ""hacer invisible"" o similar, aunque su etimología exacta es incierta. Clase de palabra: Sustantivo propio. Caso: Nominativo o acusativo (depende del contexto de la oración; se puede usar en ambos casos). Género: Masculino. Número: Singular.  Tiempo: N/A (no aplica a sustantivos). Voz: N/A (no aplica a sustantivos). Modo: N/A (no aplica a sustantivos).  Información adicional: Representa en el Nuevo Testamento el lugar de los muertos, a menudo con connotaciones negativas, aunque no siempre equivalente al infierno del cristianismo posterior.  A veces se usa indistintamente con la palabra ""thanatos"" (muerte), pero generalmente se le otorga una connotación de un lugar o reino, más que un estado o evento.  Su uso en el Nuevo Testamento es generalmente metafórico, representando una separación del mundo de los vivos y un estado de sufrimiento para los condenados, aunque algunas interpretaciones también incluyen una connotación de poder y autoridad.  La falta de una etimología completamente clara refleja la complejidad de sus connotaciones teológicas.",Hades,αδη,hadēs
"Raíz: probablemente de  ἀ- (a-) 'no', y  δηλος (dēlos) 'visible, manifiesto'.
Clase de palabra: Adjetivo.
Caso: Nominativo.
Género: Femenino (concuerda con el sustantivo al que modifica, que en este caso no se da). 
Número: Plural.
Tiempo: No aplica (es un adjetivo).
Voz: No aplica (es un adjetivo).
Modo: No aplica (es un adjetivo).
Información adicional:  El adjetivo ""αδηλα"" describe algo que no es visible o manifiesto.  Su uso en el Nuevo Testamento requiere examen del contexto para una traducción precisa ya que la traducción más adecuada podría variar según el contexto.  Puede indicar ""cosas ocultas"", ""secretos"", o ""cosas que no son aparentes"".","invisibles, ocultas",αδηλα,adēla
"Raíz:  ἀ- (a-) privativo + δηλος (dêlos, visible, claro)
Clase de palabra: Adjetivo
Caso: Nominativo, Acusativo, o Vocativo (dependiendo del contexto)
Género: Neutro
Número: Singular
Tiempo: No aplica (es un adjetivo)
Voz: No aplica (es un adjetivo)
Modo: No aplica (es un adjetivo)
Otras observaciones: Se trata de un adjetivo de participio, que describe algo que no está claro o manifiesto. El prefijo  ἀ- (a-) indica negación o privación, modificando el significado de  δηλος (dêlos) a 'no visible', 'no claro'.  La forma neutra singular es común en el griego bíblico para referirse a una situación o estado incierto.","incierto, desconocido, oculto",αδηλον,adêlon
"Raíz:  ἀδηλότης (adēlotēs)
Clase de palabra: Sustantivo
Caso: Dativo
Género: Femenino
Número: Singular
Declinación:  Sustantivo en -της (-tēs),  declinación III
Información adicional: El dativo expresa generalmente un propósito, causa o circunstancia. En el contexto del Nuevo Testamento, a menudo se utiliza para indicar la condición o la situación en la que algo ocurre.","incertidumbre, oscuridad, desconocimiento",αδηλοτητι,adēlotēti
"Raíz:  ἀδήλως (adēlos) está compuesto del prefijo negativo ἀ- (a-) y el adjetivo  δηλός (dēlos), que significa 'claro', 'evidente', 'visible'.

Clase de palabra: Adverbio.

El sufijo -ως (-ōs) forma adverbios a partir de adjetivos.

Caso, Género, Número: Como adverbio, no tiene caso, género o número.

Tiempo, Voz, Modo: No aplica, puesto que no es una forma verbal.","sin evidencia, de forma encubierta, secretamente",αδηλως,adēlos
"Raíz: ἀ- (a-) privativo + δημός (dēmos) 'pueblo' + -ειν (-ein) sufijo infinitivo. Clase de palabra: Verbo. Tiempo: Presente. Voz: Activa. Modo: Infinitivo.  El verbo describe una falta de diligencia o atención, a menudo con implicaciones de descuido respecto a las responsabilidades o deberes públicos o comunitarios.  La forma del infinitivo activo presente indica la acción en sí misma, sin especificar sujeto o tiempo más allá del presente general. La composición de la palabra refleja la idea de estar fuera o separado del pueblo en cuanto a la participación activa y el desempeño de funciones cívicas o sociales.","ser descuidado, ser negligente, ser ocioso",αδημονειν,adēmonein
"{'observaciones': 'Es el genitivo plural del sustantivo ""δαίμων"" (daimōn), que significa ""demonio.""  El genitivo indica posesión o relación.  En este contexto, ""de demonios"" describe la fuente o la procedencia de algo.  La forma plural indica que se refiere a más de un demonio.', 'caso': 'genitivo', 'modo': 'ninguno', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'daimon', 'voz': 'ninguna', 'numero': 'plural', 'tiempo': 'ninguno'}",de demonios,αδημονων,adēmonōn
"{'observaciones': 'Es un sustantivo poco común en griego, probablemente un término médico o anatómico. Su etimología no está completamente clara. La forma ""adēn"" sugiere una posible relación con términos que indican hinchazón o secreción.  Se encuentra principalmente en textos médicos o científicos de la época helenística y romana, y su uso en el Nuevo Testamento, si existe, seria excepcional y deberia ser verificado con evidencia textual especifica.', 'caso': 'nominativo', 'modo': 'No aplica', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'ad- (intensidad) + probablemente una raiz que indica secrecion o hinchazon', 'voz': 'No aplica', 'numero': 'singular', 'tiempo': 'No aplica'}",glándula,αδην,adēn
"Raíz: probablemente de una raíz indoeuropea que significa ""invisible"" o ""incierto"".
Clase de palabra: Sustantivo propio.
Caso: Usualmente en el caso genitivo (Hades), acusativo (en Hades) o locativo (en el Hades) dependiendo del contexto de la frase.
Género: Masculino.
Número: Singular.
Tiempo: N/A (sustantivos no tienen tiempo).
Voz: N/A (sustantivos no tienen voz).
Modo: N/A (sustantivos no tienen modo).
Otra información relevante:  En el griego del Nuevo Testamento, ""Hades"" se refiere al lugar de los muertos, a menudo descrito como una región de sombras o un lugar de espera antes del juicio. No es exactamente equivalente al ""infierno"" cristiano posterior.  Su uso es influenciado por la mitología griega, pero adoptado para expresar conceptos teológicos judío-cristianos sobre la muerte y el más allá.  Es importante notar que el contexto es crucial para una correcta interpretación. A veces, se usa indistintamente con otras palabras como ""tumba"" o ""muerte"", reflejando una comprensión sobre el reino de los muertos en ese periodo cultural.  No es un sustantivo compuesto.",Hades,αδης,Hades
"Raíz: διακρίνω (diakrinō, 'distinguir, discernir').
Clase de palabra: Adjetivo.
Caso: Nominativo.
Género: Masculino.
Número: Singular.
Declinación: Adjetivo de la tercera declinación, participio adjetivo del verbo διακρίνω en su forma aorista pasivo.
Voz: Pasiva.
Tiempo: Aoristo.
Modo: Indicativo (implicado, puesto que es un adjetivo y por tanto no tiene modo).
Significad:  El significado se basa en la idea de no poder ser 'distinguido' o 'discernir', por lo que se puede traducir como 'sin discernimiento', 'indiscernible', 'sin criterio' o similar. Se enfatiza la falta de capacidad para distinguir entre opciones o hacer juicios claros.","sin discernimiento, indiscernible, sin criterio",αδιακριτος,adiakritos
"Raíz:  αδια- (adia-)  'no',  λείπω (leipō) 'dejar',  -τον (-ton) sufijo adjetivo. Clase de palabra: Adjetivo.  Caso: Acusativo. Género: Neutro. Número: Singular.  Tiempo: No aplicable (es un adjetivo, no un verbo). Voz: No aplicable. Modo: No aplicable.  Información adicional: Se deriva de la composición de la partícula negativa 'α-' (a-) y el verbo 'λείπω' (leipō) en su forma participial, indicando la ausencia de interrupción o cese. El sufijo '-τον' (-ton) lo marca como adjetivo neutro singular en acusativo.","incesante, ininterrumpido, sin cesar",αδιαλειπτον,adialeipton
"Raíz:  αδιαλειπτος (adialeiptos) se compone de α (a) – prefijo privativo que significa 'sin',  δια (dia) – prefijo que indica 'a través de', 'completamente', y  λείπω (leipō) – verbo que significa 'dejar', 'abandonar', 'faltar'.  Por lo tanto, la palabra significa literalmente 'sin dejar de, sin interrupción'.
Clase de palabra: Adjetivo.
Caso: Depende del contexto, puede ser nominativo, acusativo, genitivo, dativo.
Género: Masculino, femenino o neutro (concuerda con el sustantivo al que modifica).
Número: Singular o plural (concuerda con el sustantivo al que modifica).
Tiempo: No aplicable (es un adjetivo, no un verbo).
Voz: No aplicable (es un adjetivo, no un verbo).
Modo: No aplicable (es un adjetivo, no un verbo).
Otra información relevante:  Es un adjetivo de participio que transmite la idea de continuidad sin interrupción. Su uso en el Nuevo Testamento a menudo implica oración ferviente, servicio continuo o afecto incesante.  La comprensión completa requiere analizar su contexto dentro de la frase y el pasaje.","ininterrumpido, incesante, constante",αδιαλειπτος,adialeiptos
"La palabra ""αδιαλειπτως"" (adialeiptos) en griego koiné es un adverbio.  No tiene raíz en el sentido de una palabra raíz independiente que pueda declinarse. Se forma a partir de la palabra  ""διαλείπω"" (dialeipō, ""dejar de lado, cesar"") con la adición del prefijo negativo ""α-"" (a-) y la terminación adverbial ""-ως"" (-ōs).  Por lo tanto, es un adverbio derivado de un verbo.  No tiene caso, género o número, ya que esas categorías gramaticales no son aplicables a los adverbios.  Tampoco posee tiempo, voz o modo, como tampoco los verbos en su forma adverbial. Su función gramatical es modificar a un verbo, indicando la manera en que se realiza la acción del verbo, en este caso, la continuidad o la incesancia de la acción.","sin cesar, incesantemente, continuamente",αδιαλειπτως,adialeiptos
"Raíz: adikέω (adikeō, hacer injusticia, cometer una injusticia)
Clase de palabra: Verbo
Voz: Pasiva
Tiempo: Presente
Modo: Indicativo
Persona: 2ª
Número: Plural
Caso: No aplica (es un verbo)
Género: No aplica (es un verbo)
Sufijo: -θε (-the) que es el sufijo que se agrega a los verbos de la segunda persona plural en presente de indicativo en voz pasiva.  
Observación: La palabra indica una acción continua en el tiempo, una condición de sufrimiento de injusticia por parte de los que se dirigen. Es una construcción pasiva, mostrando que ellos reciben la acción injusta, no que la realizan.",sois tratados injustamente,αδικεισθε,adikeisthe
"Raíz: adikos (άδικος, injusto)
Clase de palabra: Verbo
Tiempo: Presente
Modo: Indicativo
Voz: Media
Número: Plural
Persona: Segunda
Aspecto: Imperfecto
Diátesis: Media (acción refleja o reciproca.  Implica que el sujeto experimenta o realiza la acción sobre sí mismo o con otros)
Significado: El verbo en esta forma implica una acción continua o habitual de cometer injusticia. No se refiere a un acto único de injusticia. ","estáis haciendo injusticia, estáis actuando injustamente",αδικειτε,adikeite
"La palabra ""αδικηθεντος"" (adikhthentos) es un participio aoristo pasivo genitivo singular masculino de  ""αδικέω"" (adikéō), que significa ""tratar injustamente"", ""cometer una injusticia contra"".

* **Raíz:** αδικέω (adikéō)
* **Clase de palabra:** Verbo
* **Caso:** Genitivo
* **Género:** Masculino
* **Número:** Singular
* **Tiempo:** Aoristo
* **Voz:** Pasiva
* **Modo:** Participio

El tiempo aoristo indica una acción puntual en el pasado.  La voz pasiva muestra que el sujeto recibe la acción. El caso genitivo, en este contexto,  probablemente indica una relación de causa o consecuencia. Puede indicar que la injusticia sufrida es el motivo o la razón de otra acción en la oración, de la cual este participio es parte.",habiendo sido tratado injustamente,αδικηθεντος,adikhthentos
"Raíz: adik- (injusto, dañino)
Clase de palabra: Verbo
Voz: Pasiva
Tiempo: Aoristo
Modo: Subjuntivo
Persona: 3ª
Número: Singular
Género: Puede concordar con sustantivos masculinos, femeninos o neutros, dependiendo del contexto. 
Caso: No aplica (es un verbo). 
Observación: Se trata del aoristo pasivo subjuntivo de 3ª persona singular del verbo 'αδικέω' (adikéō), que significa 'cometer injusticia', 'dañar', 'perjudicar'. La forma 'αδικηθη' indica una acción completa en el pasado vista desde el punto de vista del subjuntivo (posible, hipotético, o dependiente de otra cláusula).","haya sido perjudicado, haya sido tratado injustamente",αδικηθη,adikhthē
"Raíz: adikos (ἄδικος, injusto)
Clase de palabra: Sustantivo
Caso: Nominativo
Género: Neutro
Número: Singular
Tiempo: No aplica (sustantivo)
Voz: No aplica (sustantivo)
Modo: No aplica (sustantivo)
Otras observaciones:  Se deriva del adjetivo 'adikos' (ἄδικος), que significa 'injusto'.  Como sustantivo, 'adikema' describe un acto de injusticia, un agravio o un delito. La forma neutra singular en nominativo indica que es el sujeto de la frase en la que aparece.","injusticia, agravio, delito",αδικημα,adikema
"Raíz: adik- (injusto)
Clase de palabra: Sustantivo
Caso: Acusativo
Género: Neutro
Número: Plural
Tiempo: No aplica (sustantivo)
Voz: No aplica (sustantivo)
Modo: No aplica (sustantivo)
Otra información relevante: Es un sustantivo neutro plural en acusativo, lo que indica que es el objeto directo de la oración. Se deriva del verbo 'adikeo' que significa 'hacer daño, cometer injusticia'. El sufijo '-mata' es un sufijo sustantivo que forma sustantivos de acción o resultado.  La palabra refleja una acción de injusticia, un transgresión o un acto ilícito, y no un estado de ser injusto.","injusticias, acciones injustas, delitos",αδικηματα,adikhmata
"Raíz: δικη (dike, justicia). Clase de palabra: Verbo.  Voz: pasiva. Tiempo: aoristo. Modo: infinitivo.  Número: singular.  El infinitivo aoristo pasivo  αδικησαι (adikhsai) significa 'ser injustamente tratado', 'ser perjudicado', o 'sufrir una injusticia'.  Representa la acción de ser el receptor de una injusticia. Se puede traducir de diversas maneras dependiendo del contexto, pudiendo enfocarse en el daño sufrido o en la falta de justicia cometida contra alguien.","injusticiar, hacer daño, cometer una injusticia",αδικησαι,adikhsai
"Raíz: adikέω (adikέō, hacer injusticia). Clase de palabra: Participio. Caso: Genitivo. Género: Masculino. Número: Singular. Tiempo: Aoristo. Voz: Activa. Modo: Indicativo (implicado, ya que es parte de una construcción participial).  Se usa como adjetivo verbal, modificando a un sustantivo implícito (e.g., un hombre, un agente), indicando la acción previa e influyendo en el estado del sustantivo implícito. La forma del genitivo indica una relación posesivo-adjetival o circunstancial, mostrando la causa o la razón de otra acción en el contexto de la oración completa.",habiendo hecho injusticia,αδικησαντος,adikhsantos
"Raíz: αδικέω (adikeō) - hacer daño, actuar injustamente
Clase de palabra: Verbo
Tiempo: Aoristo
Modo: Subjuntivo
Voz: Pasivo
Persona: 3ª
Número: Singular
Género: Neutro (debido al contexto, ya que se refiere a un sujeto neutro implícito)
Observación: El subjuntivo aoristo pasivo de αδικέω expresa la idea de que se permita o se sufra una injusticia. El contexto de la oración determinará si se trata de un permiso, una posibilidad o una súplica.  La forma '-τω' (-tō) es la terminación característica del subjuntivo aoristo pasivo de tercera persona singular en griego neotestamentario.","que sea perjudicado, que sea tratado injustamente",αδικησατω,adikhsatō
"{'modo': 'indicativo', 'clase_de_palabra': 'verbo', 'raiz': 'δικη (dike, justicia)', 'voz': 'activa', 'numero': 'singular', 'persona': 'tercera', 'tiempo': 'futuro'}","injusticiará, hará injusticia",αδικησει,adikhsei
"Raíz: adikέω (adikeō, hacer injusticia). Clase de palabra: Sustantivo. Caso: Acusativo. Género: Femenino. Número: Singular. Tiempo: No aplica (sustantivo). Voz: No aplica (sustantivo). Modo: No aplica (sustantivo).  Adikēseis es la forma acusativa singular femenina del sustantivo verbal (nombre de acción) derivado del verbo adikέω.  Representa la acción de cometer injusticia o el hecho mismo de la injusticia como objeto de una oración. Se traduce generalmente como 'injusticia' en el contexto de un objeto directo, o puede representar una acción ('cometerás injusticia') en dependencia del contexto de la oración completa.","injusticia, cometerás injusticia",αδικησης,adikhseis
"Raíz: adikos (ἄδικος, injusto)
Clase de palabra: verbo
Tiempo: futuro
Modo: indicativo
Voz: pasiva
Persona: segunda
Número: plural
Diátesis: pasiva
El sufijo -sete (-σητε) indica la segunda persona del plural del futuro indicativo pasivo. La raíz indica la acción de sufrir injusticia o daño.","seréis tratados injustamente, seréis perjudicados",αδικησητε,adikhsete
"Raíz: adikέω (adikéō, hacer injusticia). Clase de palabra: Verbo. Tiempo: Futuro. Modo: Indicativo. Voz: Activa. Número: Plural. Persona: Tercera.  Género: No aplica (verbo).  El verbo está en tercera persona del plural, futuro, indicativo activo, lo que indica una acción futura realizada por varios sujetos. La terminación  -σουσιν (-sousi) es la marca morfológica que identifica el futuro indicativo activo en tercera persona del plural en los verbos de la segunda conjugación a la que pertenece este verbo.","injusticiarán, harán injusticia",αδικησουσιν,adikhsousi
"Raíz: δικη (dike, 'justicia').  Clase de palabra: sustantivo femenino. Caso: Nominativo, acusativo o genitivo (depende del contexto de la oración). Género: Femenino. Número: Singular.  Tiempo: No aplica (sustantivo). Voz: No aplica (sustantivo). Modo: No aplica (sustantivo).  Información adicional:  La palabra 'αδικια' (adikia) es un sustantivo abstracto que denota la falta de justicia, la injusticia, la iniquidad o la impiedad.  Su significado se opone a la justicia (δικαιοσυνη, dikaiosyne). El prefijo 'α-' (a-) indica negación o privación.","injusticia, iniquidad",αδικια,adikia
